Gene ID,Sm_Hf,Sm_Hf,Sm_Hf,Sm_Hf,Sm_Hf,Sm_Hf,Sm_Hf,Sm_Hf,Sm_Hf,Sm_Hf,Sm,Sm,Sm,Sm,Sm,Sm,Sm,Sm,Sm,Sm,Hf,Hf,Hf,Hf,Hf,Hf,Hf,Hf,Hf,Hf,n.c,n.c,n.c,n.c,n.c,n.c,n.c,n.c,n.c,n.c
ENSG00000223972,0,1,3,2,0,1,3,2,1,0,0,2,0,1,5,1,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0,3,0,0,0,0,2,0,0,1
ENSG00000227232,8,9,19,6,8,12,11,33,10,16,10,16,11,18,12,23,5,14,16,6,4,21,9,3,3,8,20,21,23,8,7,9,2,1,0,3,13,1,8,1
ENSG00000243485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240361,0,0,3,0,1,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000186092,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000238009,4,2,1,0,0,1,3,3,4,1,1,2,0,2,9,3,0,3,0,1,0,3,0,4,1,0,1,3,1,2,0,2,0,1,0,1,1,0,0,0
ENSG00000239945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233750,1,3,5,1,1,3,1,3,4,3,4,1,4,6,6,7,2,5,1,4,0,7,2,10,2,2,3,8,1,3,4,0,0,1,0,3,4,0,1,1
ENSG00000237683,27,19,46,22,7,22,13,44,23,18,19,20,31,45,25,50,19,24,15,44,10,44,47,36,15,35,21,50,45,15,39,33,0,0,3,16,21,3,29,4
ENSG00000268903,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,3,1,3,1,3,0,1,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,0,0,0
ENSG00000269981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000239906,2,3,5,0,0,1,4,6,1,3,1,2,4,3,2,5,3,2,1,6,0,5,5,3,1,3,2,5,4,4,1,3,0,0,0,0,2,0,0,0
ENSG00000241860,11,11,37,23,9,8,11,18,12,8,7,22,15,37,7,25,10,11,3,24,2,33,29,24,12,12,9,42,18,9,12,21,0,0,0,10,12,3,10,1
ENSG00000222623,0,1,1,0,1,0,2,1,0,1,1,1,3,1,1,1,0,0,0,0,0,1,1,0,0,0,0,2,1,1,3,1,0,0,0,0,2,0,0,0
ENSG00000241599,2,0,5,2,1,0,2,3,2,1,2,6,2,2,3,4,2,1,0,5,0,4,7,4,2,2,1,4,7,3,4,3,0,0,0,2,2,1,4,0
ENSG00000228463,2,3,6,0,3,1,13,3,3,0,1,4,1,0,2,2,2,0,2,4,0,1,1,2,1,4,5,10,6,3,1,5,0,0,0,1,1,1,1,0
